mots actifs eligibles,,,,,,,,,
1 mai 2023 - 31 mai 2023,,,,,,,,,
Mot clé pour le Réseau de Recherche,Code de la devise,Éligible_Conversions,Éligible_Coût/conv.,Éligible_Taux de conv.,Éligible_Clics,Éligible_Impr.,Éligible_Coût,Éligible_CTR,Éligible_CPC moy.
presse jeunesse,EUR,0,--,0%,4,51,"1,39","7,84%","0,35"
presse pour enfant,EUR,0,--,0%,0,6,0,0%,--
presse pour enfants,EUR,0,--,0%,3,49,"1,45","6,12%","0,48"
presse pour les jeunes,EUR,0,--,0%,0,20,0,0%,--
programme tv abonnement,EUR,0,--,0%,2,30,"1,59","6,67%","0,8"
programme tv abonnement,EUR,0,--,0%,2,38,"1,59","5,26%","0,8"
promo abonnement valeurs actuelles,EUR,0,--,0%,5,40,"2,7","12,5%","0,54"
promo france abonnement,EUR,1,"0,59",100%,1,1,"0,59",100%,"0,59"
promo france abonnement,EUR,0,--,0%,3,8,"3,45","37,5%","1,15"
quel magazine pour ado,EUR,0,--,0%,0,16,0,0%,--
quotidien journal enfant,EUR,0,--,0%,0,1,0,0%,--
quotidien pour enfants,EUR,0,--,0%,0,0,0,0%,--
reduction fae,EUR,1,"2,25","33,33%",3,14,"2,25","21,43%","0,75"
reduction france abonnement,EUR,0,--,0%,0,2,0,0%,--
reduction france abonnement,EUR,3,"12,28","13,04%",23,53,"36,83","43,4%","1,6"
reduction kiosque fae,EUR,0,--,0%,1,5,"0,67",20%,"0,67"
revu enfant,EUR,0,--,0%,0,21,0,0%,--
revue enfance,EUR,0,--,0%,1,22,"0,22","4,55%","0,22"
revue enfant,EUR,0,--,0%,3,31,"1,17","9,68%","0,39"
revue enfants,EUR,0,--,0%,0,26,0,0%,--
revue jeunes,EUR,0,--,0%,0,0,0,0%,--
revue jeunesse,EUR,0,--,0%,1,39,"0,14","2,56%","0,14"
revue jeunesse abonnement,EUR,0,--,0%,1,24,"0,35","4,17%","0,35"
revue junior,EUR,0,--,0%,11,185,"4,04","5,95%","0,37"
revue la petite fabrique,EUR,0,--,0%,0,4,0,0%,--
revue pour adolescent,EUR,0,--,0%,0,12,0,0%,--
revue pour enfant,EUR,0,--,0%,4,24,"1,6","16,67%","0,4"
revue pour enfants,EUR,0,--,0%,6,31,"2,33","19,35%","0,39"
revue pour jeunes,EUR,0,--,0%,0,0,0,0%,--
revue pour les enfants,EUR,0,--,0%,0,16,0,0%,--
revue pour les jeunes,EUR,0,--,0%,0,2,0,0%,--
